PathPPS_len,PathPPS_time,Real_len,Acc
77,1188000,1078,1.0
211,2447000,2954,0.8767772511848341
53,683000,742,0.7358490566037735
113,1270000,1582,0.8053097345132744
63,871000,882,1.0
194,1463000,2716,0.3917525773195876
132,849000,1848,0.8181818181818182
266,2428000,3724,0.7819548872180451
224,1343000,3136,0.6964285714285714
192,1582000,2688,0.8541666666666666
109,912000,1526,0.981651376146789
80,942000,1120,0.825
122,1480000,1708,0.6885245901639344
38,965000,532,1.0
94,1265000,1316,1.0
119,1121000,1666,0.7815126050420168
141,1297000,1974,0.8297872340425532
352,3058000,4928,0.5454545454545454
200,1508000,2800,0.47
146,1298000,2044,0.2054794520547945
36,570000,504,0.8333333333333334
23,484000,322,1.0
16,890000,224,1.0
192,1261000,2688,0.6770833333333334
135,1428000,1890,0.9111111111111111
102,1043000,1428,1.0
179,2138000,2506,0.4860335195530726
227,1823000,3178,0.6475770925110133
63,870000,882,1.0
315,2119000,4410,0.6
398,2997000,5572,0.5376884422110553
128,1137000,1792,0.703125
224,1816000,3136,0.8482142857142857
98,813000,1372,0.8571428571428571
145,1102000,2030,0.8896551724137931
51,831000,714,0.9607843137254902
156,1146000,2184,0.5512820512820513
25,887000,350,1.0
118,1277000,1652,0.847457627118644
121,1392000,1694,0.9338842975206612
127,1440000,1778,0.968503937007874
105,1307000,1470,1.0
209,1686000,2926,0.9043062200956937
161,1358000,2254,0.577639751552795
254,1312000,3556,0.8661417322834646
149,1209000,2086,0.5973154362416108
125,1528000,1750,1.0
159,1538000,2226,0.7987421383647799
180,1584000,2520,0.8111111111111111
95,1188000,1330,0.7263157894736842
190,1607000,2660,0.7789473684210526
120,1644000,1680,0.8333333333333334
48,1181000,672,1.0
155,1571000,2170,0.7677419354838709
179,1535000,2506,0.7094972067039106
167,1284000,2338,0.7964071856287425
128,1136000,1792,0.71875
162,1478000,2268,0.4567901234567901
56,736000,784,0.8214285714285714
134,1063000,1876,0.8805970149253731
109,1357000,1526,0.8165137614678899
271,2716000,3794,0.5645756457564576
92,1369000,1288,1.0
182,1332000,2548,0.7472527472527473
174,1156000,2436,0.6206896551724138
146,1607000,2044,0.6575342465753424
43,636000,602,0.9534883720930233
217,1545000,3038,0.6866359447004609
191,1980000,2674,0.8324607329842932
113,919000,1582,0.8584070796460177
69,748000,966,0.8260869565217391
63,641000,882,0.7142857142857143
120,1200000,1680,0.9666666666666667
160,1562000,2240,0.875
145,1591000,2030,0.8068965517241379
130,1997000,1820,1.0
48,820000,672,0.9583333333333334
137,1265000,1918,0.7956204379562044
75,1603000,1050,1.0
218,1594000,3052,0.6330275229357798
83,1143000,1162,1.0
57,722000,798,1.0
57,604000,798,0.9649122807017544
105,1261000,1470,1.0
190,1353000,2660,0.5157894736842106
139,1752000,1946,0.7697841726618705
169,1266000,2366,0.8579881656804734
194,1687000,2716,0.5154639175257731
139,1640000,1946,0.7985611510791367
118,1286000,1652,0.7627118644067796
63,805000,882,1.0
48,759000,672,1.0
154,1155000,2156,0.5714285714285714
137,1233000,1918,0.5766423357664233
42,715000,588,0.9523809523809523
143,1058000,2002,0.6783216783216783
