PathPPS_len,PathPPS_time,Real_len,Acc
140,1300000,4480,0.9857142857142858
143,1673000,4576,0.7342657342657343
83,1138000,2656,0.927710843373494
112,952000,3584,0.625
62,717000,1984,0.7419354838709677
261,2024000,8352,0.632183908045977
193,1525000,6176,0.5647668393782384
137,1509000,4384,0.6496350364963503
104,971000,3328,0.6730769230769231
18,510000,576,1.0
142,1378000,4544,0.8873239436619719
21,499000,672,0.8095238095238095
17,485000,544,1.0
180,1365000,5760,0.9
181,1948000,5792,0.9668508287292817
35,1247000,1120,0.6571428571428571
105,1550000,3360,0.6571428571428571
47,975000,1504,0.8297872340425532
92,1471000,2944,0.9782608695652174
194,1853000,6208,0.6701030927835051
127,1361000,4064,0.7480314960629921
34,876000,1088,0.8235294117647058
129,1746000,4128,0.8604651162790697
34,825000,1088,0.7058823529411765
59,1099000,1888,0.8305084745762712
169,1501000,5408,0.5857988165680473
89,1173000,2848,0.7752808988764045
80,1086000,2560,0.525
63,1095000,2016,0.7777777777777778
30,937000,960,0.8666666666666667
33,859000,1056,0.8181818181818182
73,1068000,2336,0.6986301369863014
67,838000,2144,0.9104477611940298
38,799000,1216,0.8947368421052632
57,1468000,1824,0.6140350877192983
96,1472000,3072,0.9583333333333334
162,1639000,5184,0.5432098765432098
113,1288000,3616,0.9646017699115044
168,1799000,5376,0.8452380952380952
149,2641000,4768,0.9865771812080537
159,2199000,5088,0.8113207547169812
58,1439000,1856,0.8275862068965517
56,897000,1792,0.9285714285714286
108,1342000,3456,0.6296296296296297
43,1088000,1376,1.0
158,1939000,5056,0.8354430379746836
163,1808000,5216,0.7914110429447853
142,1966000,4544,0.8873239436619719
212,2366000,6784,0.6226415094339622
182,1458000,5824,0.5604395604395604
145,1141000,4640,0.5448275862068965
166,1417000,5312,0.4819277108433735
241,1872000,7712,0.5767634854771784
98,1182000,3136,0.7755102040816326
174,1584000,5568,0.7931034482758621
76,1093000,2432,0.5263157894736842
61,1176000,1952,0.4426229508196721
48,949000,1536,1.0
58,931000,1856,0.7241379310344828
166,1407000,5312,0.7590361445783133
95,1903000,3040,0.7263157894736842
21,901000,672,1.0
65,1469000,2080,1.0
201,1983000,6432,0.6019900497512438
86,789000,2752,0.9767441860465116
142,1739000,4544,0.9577464788732394
174,1676000,5568,0.4942528735632184
75,954000,2400,0.7333333333333333
140,2004000,4480,0.9428571428571428
142,1915000,4544,0.9295774647887324
58,1008000,1856,0.9310344827586207
54,972000,1728,0.8148148148148148
123,1882000,3936,0.6747967479674797
98,1276000,3136,0.5510204081632653
152,1543000,4864,0.5394736842105263
151,2005000,4832,0.8543046357615894
117,1132000,3744,0.8803418803418803
21,576000,672,1.0
35,553000,1120,0.8285714285714286
28,573000,896,0.5714285714285714
42,726000,1344,0.6666666666666666
105,1334000,3360,0.3904761904761905
85,1249000,2720,0.8588235294117647
95,1041000,3040,1.0
58,1439000,1856,0.8620689655172413
121,1481000,3872,0.6694214876033058
143,2815000,4576,0.8601398601398601
67,1298000,2144,0.8507462686567164
176,6007000,5632,0.4772727272727273
78,1158000,2496,0.6923076923076923
83,1109000,2656,0.8072289156626506
141,1448000,4512,0.5886524822695035
62,801000,1984,0.967741935483871
203,1745000,6496,0.5467980295566502
77,1005000,2464,0.6103896103896104
20,893000,640,1.0
204,1892000,6528,0.5392156862745098
166,1733000,5312,0.5783132530120482
83,1226000,2656,0.927710843373494
129,1130000,4128,0.7829457364341085
130,1508000,4160,0.9230769230769231
96,1049000,3072,0.6041666666666666
50,808000,1600,0.92
243,2381000,7776,0.654320987654321
138,1245000,4416,0.8405797101449275
88,1304000,2816,0.7272727272727273
121,1100000,3872,0.6694214876033058
148,1371000,4736,0.8648648648648649
196,2134000,6272,0.673469387755102
143,1526000,4576,0.34265734265734266
90,1606000,2880,0.6666666666666666
144,1588000,4608,0.8194444444444444
90,1397000,2880,0.5555555555555556
89,1098000,2848,0.8876404494382022
27,649000,864,0.9259259259259259
67,863000,2144,0.9701492537313433
131,1057000,4192,0.8320610687022901
54,1091000,1728,0.9629629629629629
132,1354000,4224,0.5
70,805000,2240,0.7428571428571429
181,1675000,5792,0.6685082872928176
185,1694000,5920,0.5351351351351351
65,1261000,2080,0.6615384615384615
18,820000,576,1.0
69,1327000,2208,0.9710144927536232
43,747000,1376,0.7674418604651163
186,1927000,5952,0.5591397849462365
56,1206000,1792,0.6785714285714286
148,1811000,4736,0.8108108108108109
105,1302000,3360,0.638095238095238
52,846000,1664,0.8076923076923077
35,1057000,1120,1.0
90,1238000,2880,0.9777777777777777
155,1034000,4960,0.7032258064516129
180,1495000,5760,0.9333333333333333
124,1331000,3968,0.7741935483870968
63,731000,2016,0.9047619047619048
157,1816000,5024,0.910828025477707
110,1470000,3520,0.8363636363636363
111,1594000,3552,0.7477477477477478
192,2020000,6144,0.4791666666666667
180,1492000,5760,0.6777777777777778
244,2566000,7808,0.5081967213114754
84,1038000,2688,0.9761904761904762
214,2322000,6848,0.6261682242990654
115,1198000,3680,0.9826086956521739
98,830000,3136,0.9795918367346939
97,1133000,3104,0.8556701030927835
28,496000,896,1.0
58,764000,1856,0.7241379310344828
81,842000,2592,0.6790123456790124
105,1524000,3360,0.6
105,1520000,3360,0.638095238095238
102,1519000,3264,0.7450980392156863
18,862000,576,0.7777777777777778
280,2906000,8960,0.65
86,1218000,2752,0.627906976744186
272,2665000,8704,0.6397058823529411
107,1245000,3424,0.7383177570093458
71,753000,2272,0.8028169014084507
12,481000,384,1.0
87,818000,2784,0.9080459770114943
50,648000,1600,0.96
114,1203000,3648,0.7894736842105263
114,1142000,3648,0.6491228070175439
137,1667000,4384,0.35766423357664234
1,616000,32,1.0
116,1223000,3712,0.8620689655172413
51,1303000,1632,0.4117647058823529
136,1514000,4352,0.6323529411764706
149,1669000,4768,0.785234899328859
141,1576000,4512,0.7872340425531915
25,1003000,800,1.0
95,830000,3040,0.5789473684210527
140,1186000,4480,0.8142857142857143
121,1201000,3872,0.8016528925619835
194,1571000,6208,0.6288659793814433
208,1435000,6656,0.5096153846153846
109,823000,3488,0.5596330275229358
246,2544000,7872,0.5772357723577236
149,1895000,4768,0.5704697986577181
73,953000,2336,0.5342465753424658
120,1349000,3840,0.6666666666666666
117,1705000,3744,0.9145299145299145
82,1245000,2624,0.975609756097561
68,1774000,2176,1.0
116,1302000,3712,0.7586206896551724
189,1706000,6048,0.8835978835978836
179,1390000,5728,0.4748603351955307
94,893000,3008,0.8297872340425532
100,2260000,3200,0.8
170,1402000,5440,0.611764705882353
144,2272000,4608,0.8888888888888888
76,1534000,2432,0.7631578947368421
132,1584000,4224,0.4696969696969697
68,1246000,2176,0.8235294117647058
121,1745000,3872,0.8842975206611571
39,854000,1248,0.7435897435897436
159,1494000,5088,0.6352201257861635
95,2021000,3040,0.8947368421052632
HCM(ms):,596.72,MapSize(B):,589912
