PathPPS_len,PathPPS_time,Real_len,Acc
51,1650000,3264,1.0
23,1411000,1472,1.0
41,1152000,2624,1.0
26,1291000,1664,1.0
29,1152000,1856,1.0
24,897000,1536,1.0
89,1176000,5696,1.0
59,1028000,3776,1.0
113,1315000,7232,1.0
40,915000,2560,1.0
72,1114000,4608,1.0
105,1123000,6720,1.0
57,968000,3648,1.0
16,879000,1024,1.0
118,1153000,7552,1.0
66,945000,4224,1.0
8,1774000,512,1.0
115,1715000,7360,1.0
92,1229000,5888,1.0
35,935000,2240,1.0
93,1122000,5952,1.0
1,789000,64,1.0
41,920000,2624,1.0
22,861000,1408,1.0
81,1055000,5184,1.0
134,1335000,8576,1.0
18,872000,1152,1.0
87,1122000,5568,1.0
46,975000,2944,1.0
86,1179000,5504,1.0
35,883000,2240,1.0
70,1013000,4480,1.0
73,987000,4672,1.0
129,1283000,8256,1.0
49,948000,3136,1.0
33,894000,2112,1.0
6,833000,384,1.0
11,843000,704,1.0
6,811000,384,1.0
17,835000,1088,1.0
15,840000,960,1.0
91,1272000,5824,1.0
42,945000,2688,1.0
56,1608000,3584,0.9642857142857143
151,1256000,9664,1.0
48,934000,3072,1.0
21,874000,1344,1.0
72,1801000,4608,1.0
50,1481000,3200,1.0
47,1183000,3008,1.0
81,1374000,5184,1.0
105,1356000,6720,1.0
69,1203000,4416,1.0
109,1476000,6976,1.0
23,1098000,1472,1.0
105,1372000,6720,1.0
59,1149000,3776,1.0
87,1527000,5568,1.0
6,930000,384,1.0
89,1190000,5696,1.0
45,1119000,2880,1.0
87,1376000,5568,1.0
34,1115000,2176,1.0
41,1093000,2624,1.0
44,1076000,2816,1.0
76,1168000,4864,1.0
38,1485000,2432,1.0
30,1002000,1920,1.0
62,1071000,3968,1.0
68,913000,4352,1.0
86,929000,5504,1.0
126,1157000,8064,1.0
121,1091000,7744,1.0
8,737000,512,1.0
22,788000,1408,1.0
16,783000,1024,1.0
73,997000,4672,1.0
58,906000,3712,1.0
94,948000,6016,1.0
47,1028000,3008,1.0
27,797000,1728,1.0
16,1569000,1024,1.0
47,1326000,3008,1.0
84,1274000,5376,1.0
94,1070000,6016,1.0
111,1185000,7104,1.0
83,998000,5312,1.0
38,863000,2432,1.0
115,1136000,7360,1.0
23,813000,1472,1.0
128,1185000,8192,1.0
16,1022000,1024,0.875
66,878000,4224,1.0
29,829000,1856,1.0
29,1115000,1856,1.0
53,1067000,3392,1.0
68,1144000,4352,1.0
49,1075000,3136,1.0
59,1131000,3776,1.0
153,1379000,9792,1.0
107,1486000,6848,1.0
17,965000,1088,1.0
24,885000,1536,1.0
148,1324000,9472,1.0
48,1220000,3072,1.0
37,1033000,2368,1.0
43,1087000,2752,1.0
26,956000,1664,1.0
43,1016000,2752,1.0
11,809000,704,1.0
54,989000,3456,1.0
123,1525000,7872,1.0
155,1445000,9920,1.0
57,3004000,3648,1.0
33,1279000,2112,1.0
130,1309000,8320,1.0
15,804000,960,1.0
93,1064000,5952,1.0
130,1344000,8320,1.0
36,935000,2304,1.0
135,1975000,8640,0.9851851851851852
27,927000,1728,1.0
26,814000,1664,1.0
113,1220000,7232,1.0
5,710000,320,1.0
37,835000,2368,1.0
80,1131000,5120,1.0
27,791000,1728,1.0
27,761000,1728,1.0
81,945000,5184,1.0
110,1045000,7040,1.0
17,787000,1088,1.0
46,866000,2944,1.0
5,726000,320,1.0
55,887000,3520,1.0
22,774000,1408,1.0
15,775000,960,1.0
74,909000,4736,1.0
154,1251000,9856,1.0
124,1183000,7936,1.0
119,1403000,7616,1.0
47,973000,3008,1.0
21,861000,1344,1.0
75,2007000,4800,0.9733333333333334
94,2283000,6016,1.0
29,1309000,1856,1.0
85,1354000,5440,1.0
35,937000,2240,1.0
26,964000,1664,1.0
56,1167000,3584,1.0
132,1547000,8448,1.0
138,1620000,8832,1.0
116,1862000,7424,1.0
55,1246000,3520,1.0
26,1124000,1664,1.0
32,1163000,2048,1.0
21,1461000,1344,1.0
138,2108000,8832,0.9855072463768116
115,1368000,7360,1.0
44,893000,2816,1.0
138,1513000,8832,1.0
18,935000,1152,1.0
142,1351000,9088,1.0
43,974000,2752,1.0
29,890000,1856,1.0
26,885000,1664,1.0
147,1335000,9408,1.0
46,955000,2944,1.0
8,844000,512,1.0
156,1359000,9984,1.0
102,1131000,6528,1.0
43,987000,2752,1.0
90,1062000,5760,1.0
32,882000,2048,1.0
24,857000,1536,1.0
141,2292000,9024,1.0
12,1268000,768,1.0
40,1141000,2560,1.0
111,1721000,7104,1.0
10,1136000,640,1.0
19,1117000,1216,1.0
40,1262000,2560,1.0
101,1676000,6464,1.0
1,1166000,64,1.0
38,1211000,2432,1.0
80,1280000,5120,1.0
41,1128000,2624,1.0
143,2146000,9152,0.986013986013986
127,1446000,8128,1.0
35,1187000,2240,1.0
42,1131000,2688,1.0
68,1226000,4352,1.0
8,960000,512,1.0
146,1403000,9344,1.0
12,958000,768,1.0
90,1146000,5760,1.0
57,1233000,3648,1.0
139,1638000,8896,1.0
136,1759000,8704,1.0
66,1309000,4224,1.0
HCM(ms):,137.32,MapSize(B):,1310800
